bike_name,full_price,club_price,bike_class
BMC Teammachine SLR FIVE Road Bike Grey/Black,5999.00,4869.00,road
BMC Teammachine SLR Three Road Bike Carbon Blue/White,7299.00,5467.00,road
Merida Scultura 6000 Road Bike Metallic Black/Silver,4299.00,3799.00,road
Merida Scultura Endurance 300 Road Bike Black/Silver,2200.00,1756.00,road
Pedal Messenger Gotham,399.00,298.00,road
Pedal Pacer 2 Flat Bar Road Bike Grey,599.00,349.00,road
Pedal Pursuit 2 Road Bike Metallic Blue,649.00,578.00,road
Pedal Raider 2 Cyclocross Bike Navy,799.00,499.00,road
Pedal Messenger 3 Berlin Flat Bar Road Bike Midnight Blue,599.00,399.00,road
Norco Search XR S2 Gravel Bike Steller Blue,3299.00,1976.00,road
Pedal Cavalier 2 HD Flat Bar Road Bike Marine Blue,699.00,499.00,road
Pedal Jet 2 Trapeze Flat Bar Road Bike Mint,429.00,298.00,road
Merida Speeder 200 Flat Bar Road Bike Red,1300.00,1099.00,road
Norco Search XR S1 Gravel Bike Warm Grey,3999.00,2748.00,road
Merida Silex 200 Gravel Bike Orange/Black,1699.00,1553.00,road
Merida Scultura Rim 100 Road Bike Silk Titan/Green,1260.00,899.00,road
Merida Speeder 20 Flat Bar Road Bike Anthracite Black,799.00,648.00,road
Norco Search XR A1 Gravel Bike Orange/Grey,2799.00,2339.00,road
Merida Scultura 300 Road Bike Matt Blue,2200.00,1987.00,road
Norco Search XR A2 Gravel Bike Green/Green,2199.00,1644.00,road
Merida Scultura Rim 400 Road Bike Metallic Black/Silver,1999.00,1793.00,road
Merida Scultura 4000 Road Bike Metallic Black/Silver,2999.00,2838.00,road
Merida Scultura Endurance 5000 Road Bike Matt Fog Green/Black,3600.00,3499.00,road
Cube SL Road Flat Bar Road Bike Dark Red 'n' Red,1299.00,1169.10,road
Merida Scultura Endurance 400 Road Bike Black/Silver,2500.00,2246.00,road
Merida eSilex 400 Electric Gravel Bike Dark Silver/Black,4699.00,3297.00,road
Cube Nuroad Pro Gravel Bike Inkgrey 'n' Black,2199.00,1987.00,road
Merida Scultura 200 Road Bike Metallic Black/Silver,1599.00,1392.00,road
BMC Teammachine SLR Seven Road Bike Black,4099.00,3373.00,road
Merida eSilex+ 600 Electric Gravel Bike Orange/Black,4999.00,3742.00,road
Merida eScultura 400 Electric Road Bike Race Red,4999.00,3997.00,road
Pedal Raider 3 Gravel Bike Dark Grey,849.00,649.00,road
Merida eSpeeder 200 Electric Flat Bar Road Bike Steel Blue,3999.00,3599.00,road
Merida Silex 400 Gravel Bike Glossy Black/Matt Black,2299.00,2066.00,road
Cube Nuroad EX Gravel Bike Flashstone 'n' Orange,2799.00,2446.00,road
BMC Teammachine SLR FIVE Road Bike Grey/Black,5999.00,4869.00,road
BMC Teammachine SLR Three Road Bike Carbon Blue/White,7299.00,5467.00,road
Merida Scultura 6000 Road Bike Metallic Black/Silver,4299.00,3799.00,road
Merida Scultura Endurance 300 Road Bike Black/Silver,2200.00,1756.00,road
Pedal Messenger Gotham,399.00,298.00,road
Pedal Pacer 2 Flat Bar Road Bike Grey,599.00,349.00,road
Pedal Pursuit 2 Road Bike Metallic Blue,649.00,578.00,road
Pedal Raider 2 Cyclocross Bike Navy,799.00,499.00,road
Pedal Messenger 3 Berlin Flat Bar Road Bike Midnight Blue,599.00,399.00,road
Norco Search XR S2 Gravel Bike Steller Blue,3299.00,1976.00,road
Pedal Cavalier 2 HD Flat Bar Road Bike Marine Blue,699.00,499.00,road
Pedal Jet 2 Trapeze Flat Bar Road Bike Mint,429.00,298.00,road
Merida Speeder 200 Flat Bar Road Bike Red,1300.00,1099.00,road
Norco Search XR S1 Gravel Bike Warm Grey,3999.00,2748.00,road
Merida Silex 200 Gravel Bike Orange/Black,1699.00,1553.00,road
Merida Scultura Rim 100 Road Bike Silk Titan/Green,1260.00,899.00,road
Merida Speeder 20 Flat Bar Road Bike Anthracite Black,799.00,648.00,road
Norco Search XR A1 Gravel Bike Orange/Grey,2799.00,2339.00,road
Merida Scultura 300 Road Bike Matt Blue,2200.00,1987.00,road
Norco Search XR A2 Gravel Bike Green/Green,2199.00,1644.00,road
Merida Scultura Rim 400 Road Bike Metallic Black/Silver,1999.00,1793.00,road
Merida Scultura 4000 Road Bike Metallic Black/Silver,2999.00,2838.00,road
Merida Scultura Endurance 5000 Road Bike Matt Fog Green/Black,3600.00,3499.00,road
Cube SL Road Flat Bar Road Bike Dark Red 'n' Red,1299.00,1169.10,road
Merida Scultura Endurance 400 Road Bike Black/Silver,2500.00,2246.00,road
Merida eSilex 400 Electric Gravel Bike Dark Silver/Black,4699.00,3297.00,road
Cube Nuroad Pro Gravel Bike Inkgrey 'n' Black,2199.00,1987.00,road
Merida Scultura 200 Road Bike Metallic Black/Silver,1599.00,1392.00,road
BMC Teammachine SLR Seven Road Bike Black,4099.00,3373.00,road
Merida eSilex+ 600 Electric Gravel Bike Orange/Black,4999.00,3742.00,road
